novel_ORF	overlapping_gene_id	overlapping_transcript	overlapping_gene_name	surrounding_gene_ids	surrounding_transcripts	surrounding_gene_names
MSTRG.674_10057317_10064257_59	ENSG00000162444.11	ENSG00000162444.11	RBP7			
MSTRG.675_10218527_10226322_59	ENSG00000130939.14,ENSG00000201746.1	ENSG00000130939.14,ENSG00000201746.1	UBE4B,RNU6-828P	,	,	,
MSTRG.697_10459606_10459653_15	ENSG00000142657.16	ENSG00000142657.16	PGD			
MSTRG.688_10490575_10511458_77	ENSG00000271989.1,ENSG00000251503.3,ENSG00000175279.17,ENSG00000241563.2	ENSG00000271989.1,ENSG00000251503.3,ENSG00000175279.17,ENSG00000241563.2	RP4-736L20.3,APITD1-CORT,APITD1,CORT	,,,	,,,	,,,
MSTRG.688_10490907_10491101_64	ENSG00000251503.3,ENSG00000175279.17	ENSG00000251503.3,ENSG00000175279.17	APITD1-CORT,APITD1	ENSG00000271989.1,,	ENSG00000271989.1,,	RP4-736L20.3,,
MSTRG.691_10535024_10659300_29	ENSG00000142655.8	ENSG00000142655.8	PEX14			
MSTRG.699_11073935_11076184_30	ENSG00000120948.11	ENSG00000120948.11	TARDBP			
MSTRG.699_11073935_11078806_34	ENSG00000120948.11	ENSG00000120948.11	TARDBP			
MSTRG.698_11120000_11119323_93	ENSG00000116649.5	ENSG00000116649.5	SRM			
MSTRG.702_11141279_11140568_97	ENSG00000171824.9	ENSG00000171824.9	EXOSC10			
MSTRG.707_11168328_11167490_52	ENSG00000198793.8	ENSG00000198793.8	MTOR			
MSTRG.717_11741000_11740860_46	ENSG00000116670.10	ENSG00000116670.10	MAD2L2			
MSTRG.717_11741152_11741042_36	ENSG00000116670.10	ENSG00000116670.10	MAD2L2			
MSTRG.720_11796266_11806174_63	ENSG00000177674.11	ENSG00000177674.11	AGTRAP			
MSTRG.720_11796266_11806026_33	ENSG00000177674.11	ENSG00000177674.11	AGTRAP			
MSTRG.722_12042126_12042149_7	ENSG00000116688.12	ENSG00000116688.12	MFN2			
ENSG00000116691.6_12079603_12082294_49	ENSG00000116691.6	ENSG00000116691.6	MIIP			
ENSG00000116691.6_12089809_12089955_48	ENSG00000116691.6	ENSG00000116691.6	MIIP			
MSTRG.723_12640668_12640624_14	ENSG00000162496.4	ENSG00000162496.4	DHRS3			
ENSG00000171729.9_15537010_15541521_59	ENSG00000171729.9	ENSG00000171729.9	TMEM51			
MSTRG.728_15850695_15833617_154	ENSG00000132906.13	ENSG00000132906.13	CASP9			
MSTRG.728_15850695_15834393_95	ENSG00000132906.13	ENSG00000132906.13	CASP9			
ENSG00000197312.7_15944166_15983128_399	ENSG00000197312.7	ENSG00000197312.7	DDI2			
ENSG00000197312.7_15956972_15960305_74	ENSG00000197312.7	ENSG00000197312.7	DDI2			
ENSG00000116809.7_16302571_16302515_18	ENSG00000116809.7	ENSG00000116809.7	ZBTB17			
MSTRG.745_16363203_16363162_13	ENSG00000232456.1	ENSG00000232456.1	RP11-5P18.10			
MSTRG.747_16399996_16399937_19	ENSG00000185519.8	ENSG00000185519.8	FAM131C			
ENSG00000132881.7_16563437_16563333_34	ENSG00000132881.7	ENSG00000132881.7	RSG1			
ENSG00000037637.6_16641918_16632409_86	ENSG00000037637.6	ENSG00000037637.6	FBXO42			
MSTRG.751_16721652_16721729_25	ENSG00000055070.12,ENSG00000187144.7	ENSG00000055070.12,ENSG00000187144.7	SZRD1,SPATA21	,	,	,
MSTRG.751_16693753_16719773_33	ENSG00000055070.12,ENSG00000226457.1,ENSG00000187144.7	ENSG00000055070.12,ENSG00000226457.1,ENSG00000187144.7	SZRD1,RP11-430L17.1,SPATA21	,,	,,	,,
MSTRG.750_16767257_16775595_101	ENSG00000157191.15	ENSG00000157191.15	NECAP2			
MSTRG.755_16939926_16939870_18	ENSG00000219481.6	ENSG00000219481.6	NBPF1			
MSTRG.755_16935256_16935167_29	ENSG00000219481.6	ENSG00000219481.6	NBPF1			
MSTRG.755_16935135_16935028_35	ENSG00000219481.6	ENSG00000219481.6	NBPF1			
MSTRG.756_16958033_16957284_109	ENSG00000215908.5	ENSG00000215908.5	CROCCP2			
MSTRG.759_17256952_17263356_120	ENSG00000058453.12	ENSG00000058453.12	CROCC			
MSTRG.758_17380582_17380529_17	ENSG00000117118.5	ENSG00000117118.5	SDHB			
MSTRG.774_19209620_19186096_333	ENSG00000179002.5,ENSG00000255275.3,ENSG00000159423.12	ENSG00000179002.5,ENSG00000255275.3,ENSG00000159423.12	TAS1R2,RP13-279N23.2,ALDH4A1	,,,ENSG00000265606.1	,,,ENSG00000265606.1	,,,MIR4695
MSTRG.774_19215924_19209918_130	ENSG00000255275.3,ENSG00000159423.12	ENSG00000255275.3,ENSG00000159423.12	RP13-279N23.2,ALDH4A1	,,ENSG00000265606.1	,,ENSG00000265606.1	,,MIR4695
MSTRG.781_19644172_19652028_100	ENSG00000040487.8,ENSG00000265192.1	ENSG00000040487.8,ENSG00000265192.1	PQLC2,RN7SL85P	,	,	,
MSTRG.783_19812007_19775813_29	ENSG00000077549.13	ENSG00000077549.13	CAPZB			
MSTRG.786_19943791_19952895_70	ENSG00000270136.1,ENSG00000173436.9	ENSG00000270136.1,ENSG00000173436.9	MINOS1-NBL1,MINOS1	,	,	,
MSTRG.786_19923540_19981527_28	ENSG00000270136.1,ENSG00000173436.9,ENSG00000226396.1,ENSG00000158747.9	ENSG00000270136.1,ENSG00000173436.9,ENSG00000226396.1,ENSG00000158747.9	MINOS1-NBL1,MINOS1,RPS14P3,NBL1	ENSG00000235185.1,,,,	ENSG00000235185.1,,,,	RP5-1056L3.1,,,,
MSTRG.786_19923579_19943762_11	ENSG00000270136.1,ENSG00000173436.9,ENSG00000226396.1	ENSG00000270136.1,ENSG00000173436.9,ENSG00000226396.1	MINOS1-NBL1,MINOS1,RPS14P3	ENSG00000235185.1,,,	ENSG00000235185.1,,,	RP5-1056L3.1,,,
ENSG00000162542.9_20113564_20113526_12	ENSG00000162542.9	ENSG00000162542.9	TMCO4			
MSTRG.785_20811872_20810142_78	ENSG00000162545.5	ENSG00000162545.5	CAMK2N1			
MSTRG.792_21050941_21050608_78	ENSG00000189410.7	ENSG00000189410.7	SH2D5			
MSTRG.799_21074120_21072114_39	ENSG00000127483.13	ENSG00000127483.13	HP1BP3			
MSTRG.799_21113725_21106985_28	ENSG00000127483.13	ENSG00000127483.13	HP1BP3			
MSTRG.799_21113725_21106398_14	ENSG00000127483.13	ENSG00000127483.13	HP1BP3			
MSTRG.801_21503352_21503326_8	ENSG00000075151.15	ENSG00000075151.15	EIF4G3	,ENSG00000266867.1	,ENSG00000266867.1	,AL031005.1
MSTRG.826_21560098_21559928_56	ENSG00000117298.10	ENSG00000117298.10	ECE1			
ENSG00000142794.14_21766804_21771489_28	ENSG00000142794.14	ENSG00000142794.14	NBPF3			
ENSG00000076864.15_21923643_21923467_58	ENSG00000076864.15	ENSG00000076864.15	RAP1GAP			
ENSG00000076864.15_21928196_21924473_120	ENSG00000076864.15	ENSG00000076864.15	RAP1GAP			
MSTRG.824_22030854_22028058_45	ENSG00000090686.11	ENSG00000090686.11	USP48			
MSTRG.809_22356862_22356978_38	ENSG00000218510.3	ENSG00000218510.3	LINC00339			
ENSG00000184677.12_22778370_22778402_10	ENSG00000184677.12	ENSG00000184677.12	ZBTB40			
MSTRG.857_23408812_23408949_45	ENSG00000004487.11,ENSG00000240553.1	ENSG00000004487.11,ENSG00000240553.1	KDM1A,RP1-184J9.2	,	,	,
MSTRG.858_23435517_23420757_39	ENSG00000169641.9	ENSG00000169641.9	LUZP1			
ENSG00000179546.3_23521061_23520936_41	ENSG00000179546.3	ENSG00000179546.3	HTR1D			
MSTRG.798_23670745_23665093_16	ENSG00000125944.14	ENSG00000125944.14	HNRNPR			
MSTRG.798_23665089_23664324_45	ENSG00000125944.14	ENSG00000125944.14	HNRNPR			
MSTRG.798_23665089_23664979_36	ENSG00000125944.14	ENSG00000125944.14	HNRNPR			
MSTRG.822_24120977_24121162_61	ENSG00000011009.6	ENSG00000011009.6	LYPLA2			
MSTRG.822_24119188_24120568_74	ENSG00000011009.6	ENSG00000011009.6	LYPLA2			
MSTRG.823_24122481_24122290_63	ENSG00000117308.10	ENSG00000117308.10	GALE	ENSG00000011009.6,	ENSG00000011009.6,	LYPLA2,
MSTRG.823_24123541_24122995_120	ENSG00000117308.10	ENSG00000117308.10	GALE			
MSTRG.823_24126052_24125202_71	ENSG00000117308.10	ENSG00000117308.10	GALE			
MSTRG.823_24125497_24125345_50	ENSG00000117308.10	ENSG00000117308.10	GALE			
ENSG00000142661.14_24434867_24434826_13	ENSG00000142661.14	ENSG00000142661.14	MYOM3			
ENSG00000142661.14_24434786_24434505_93	ENSG00000142661.14	ENSG00000142661.14	MYOM3			
MSTRG.836_24768607_24771678_37	ENSG00000001461.12	ENSG00000001461.12	NIPAL3			
MSTRG.836_24785400_24790636_83	ENSG00000001461.12	ENSG00000001461.12	NIPAL3			
MSTRG.837_25072057_25119670_20	ENSG00000169504.10,ENSG00000238482.1	ENSG00000169504.10,ENSG00000238482.1	CLIC4,RNU6-1208P	,	,	,
MSTRG.865_25554004_25553966_12	ENSG00000117614.5	ENSG00000117614.5	SYF2			
MSTRG.854_26149520_26150238_67	ENSG00000255054.3,ENSG00000117640.13	ENSG00000255054.3,ENSG00000117640.13	RP1-317E23.6,MTFR1L	,	,	,
ENSG00000158006.9_26317312_26317253_19	ENSG00000158006.9	ENSG00000158006.9	PAFAH2			
MSTRG.872_26606647_26607614_93	ENSG00000142669.9	ENSG00000142669.9	SH3BGRL3	,ENSG00000158062.16	,ENSG00000158062.16	,UBXN11
MSTRG.872_26606647_26607474_88	ENSG00000142669.9	ENSG00000142669.9	SH3BGRL3	,ENSG00000158062.16	,ENSG00000158062.16	,UBXN11
MSTRG.873_26620727_26612507_17	ENSG00000158062.16	ENSG00000158062.16	UBXN11			
MSTRG.873_26629374_26627537_35	ENSG00000158062.16	ENSG00000158062.16	UBXN11			
MSTRG.873_26624527_26612451_94	ENSG00000158062.16	ENSG00000158062.16	UBXN11			
MSTRG.873_26624527_26620809_47	ENSG00000158062.16	ENSG00000158062.16	UBXN11			
ENSG00000176092.9_26658030_26655221_64	ENSG00000176092.9	ENSG00000176092.9	AIM1L			
ENSG00000117682.12_26764711_26764770_19	ENSG00000117682.12	ENSG00000117682.12	DHDDS			
MSTRG.870_26898369_26898696_25	ENSG00000117676.9	ENSG00000117676.9	RPS6KA1			
MSTRG.870_26856412_26877938_52	ENSG00000117676.9	ENSG00000117676.9	RPS6KA1			
ENSG00000117713.13_27023601_27023981_126	ENSG00000117713.13	ENSG00000117713.13	ARID1A			
ENSG00000117713.13_27097735_27097776_13	ENSG00000117713.13	ENSG00000117713.13	ARID1A			
ENSG00000117713.13_27099469_27102091_139	ENSG00000117713.13	ENSG00000117713.13	ARID1A			
ENSG00000117713.13_27101408_27102391_172	ENSG00000117713.13	ENSG00000117713.13	ARID1A			
MSTRG.879_27216724_27216617_35	ENSG00000142751.10	ENSG00000142751.10	GPN2	,ENSG00000198746.8	,ENSG00000198746.8	,GPATCH3
MSTRG.879_27216587_27215477_112	ENSG00000142751.10	ENSG00000142751.10	GPN2	,ENSG00000198746.8	,ENSG00000198746.8	,GPATCH3
ENSG00000090020.6_27480825_27436249_123	ENSG00000090020.6	ENSG00000090020.6	SLC9A1			
MSTRG.883_27648749_27657514_85	ENSG00000186501.10,ENSG00000206888.1,ENSG00000241547.1	ENSG00000186501.10,ENSG00000206888.1,ENSG00000241547.1	TMEM222,RNU6-48P,RP11-4K3__A.5	,,	,,	,,
MSTRG.883_27648749_27658968_93	ENSG00000186501.10,ENSG00000206888.1,ENSG00000241547.1	ENSG00000186501.10,ENSG00000206888.1,ENSG00000241547.1	TMEM222,RNU6-48P,RP11-4K3__A.5	,,	,,	,,
ENSG00000126705.9_27885394_27885245_49	ENSG00000126705.9	ENSG00000126705.9	AHDC1			
MSTRG.891_27998663_27995852_11	ENSG00000126709.10,ENSG00000225886.1	ENSG00000126709.10,ENSG00000225886.1	IFI6,RP11-288L9.4	,	,	,
MSTRG.893_28261594_28261641_15	ENSG00000130768.10	ENSG00000130768.10	SMPDL3B			
MSTRG.893_28261695_28275538_102	ENSG00000130768.10,ENSG00000227050.1	ENSG00000130768.10,ENSG00000227050.1	SMPDL3B,RP11-460I13.2	,	,	,
MSTRG.902_28562695_28564308_71	ENSG00000130770.13	ENSG00000130770.13	ATPIF1			
ENSG00000130772.9_28657130_28657168_12	ENSG00000130772.9	ENSG00000130772.9	MED18			
MSTRG.917_28879623_28887669_89	ENSG00000180098.5	ENSG00000180098.5	TRNAU1AP			
MSTRG.917_28880164_28887262_67	ENSG00000180098.5	ENSG00000180098.5	TRNAU1AP			
MSTRG.918_28908254_28908105_49	ENSG00000197989.9	ENSG00000197989.9	SNHG12			
MSTRG.918_28908301_28908245_18	ENSG00000197989.9	ENSG00000197989.9	SNHG12			
MSTRG.920_29063502_29063627_41	ENSG00000198492.10	ENSG00000198492.10	YTHDF2			
MSTRG.920_29063633_29064806_20	ENSG00000198492.10	ENSG00000198492.10	YTHDF2			
MSTRG.921_29487019_29486578_52	ENSG00000116350.11	ENSG00000116350.11	SRSF4			
MSTRG.929_29557418_29543279_73	ENSG00000116353.11,ENSG00000237934.1	ENSG00000116353.11,ENSG00000237934.1	MECR,RP11-467D18.2	,	,	,
MSTRG.929_29557418_29549739_69	ENSG00000116353.11,ENSG00000237934.1	ENSG00000116353.11,ENSG00000237934.1	MECR,RP11-467D18.2	,	,	,
MSTRG.929_29557418_29555563_59	ENSG00000116353.11	ENSG00000116353.11	MECR			
ENSG00000162512.11_31351551_31351132_139	ENSG00000162512.11	ENSG00000162512.11	SDC3			
ENSG00000162512.11_31381593_31351568_105	ENSG00000162512.11	ENSG00000162512.11	SDC3			
ENSG00000134644.11_31532413_31528216_124	ENSG00000134644.11	ENSG00000134644.11	PUM1			
ENSG00000134644.11_31532413_31501695_94	ENSG00000134644.11,ENSG00000237329.2,ENSG00000232768.1	ENSG00000134644.11,ENSG00000237329.2,ENSG00000232768.1	PUM1,RP11-201O14.1,RP11-201O14.2	,,	,,	,,
MSTRG.933_31734387_31732483_165	ENSG00000060688.8	ENSG00000060688.8	SNRNP40			
MSTRG.935_31769929_31782935_58	ENSG00000121766.10	ENSG00000121766.10	ZCCHC17	ENSG00000060688.8,	ENSG00000060688.8,	SNRNP40,
MSTRG.991_32385229_32385164_21	ENSG00000269967.1,ENSG00000184007.13	ENSG00000269967.1,ENSG00000184007.13	RP11-84A19.4,PTP4A2	,	,	,
MSTRG.991_32384666_32374502_82	ENSG00000269967.1,ENSG00000184007.13,ENSG00000212673.1	ENSG00000269967.1,ENSG00000184007.13,ENSG00000212673.1	RP11-84A19.4,PTP4A2,AL136115.1	,,	,,	,,
MSTRG.991_32403768_32403653_18	ENSG00000184007.13	ENSG00000184007.13	PTP4A2			
MSTRG.945_32538649_32542209_131	ENSG00000203325.3,ENSG00000121775.13	ENSG00000203325.3,ENSG00000121775.13	RP11-277A4.4,TMEM39B	,	,	,
MSTRG.947_32625077_32625094_5	ENSG00000025800.9	ENSG00000025800.9	KPNA6			
MSTRG.947_32573732_32626240_186	ENSG00000025800.9	ENSG00000025800.9	KPNA6			
MSTRG.950_32667608_32669575_62	ENSG00000160050.10	ENSG00000160050.10	CCDC28B			
MSTRG.1007_32688043_32691826_108	ENSG00000084623.7	ENSG00000084623.7	EIF3I	ENSG00000160055.15,	ENSG00000160055.15,	TMEM234,
MSTRG.1007_32689683_32694125_43	ENSG00000084623.7	ENSG00000084623.7	EIF3I			
MSTRG.948_32757771_32782288_23	ENSG00000116478.7	ENSG00000116478.7	HDAC1			
MSTRG.956_32860015_32849535_64	ENSG00000160058.14	ENSG00000160058.14	BSDC1			
MSTRG.970_33058533_33066020_441	ENSG00000254553.1,ENSG00000160062.10,ENSG00000176261.11	ENSG00000254553.1,ENSG00000160062.10,ENSG00000176261.11	RP1-27O5.3,ZBTB8A,ZBTB8OS	,,	,,	,,
MSTRG.973_33116908_33133850_62	ENSG00000162521.14	ENSG00000162521.14	RBBP4	ENSG00000176261.11,	ENSG00000176261.11,	ZBTB8OS,
MSTRG.959_33282954_33282901_17	ENSG00000134684.6,ENSG00000116497.13	ENSG00000134684.6,ENSG00000116497.13	YARS,S100PBP	,	,	,
MSTRG.959_33282845_33256816_225	ENSG00000134684.6,ENSG00000116497.13	ENSG00000134684.6,ENSG00000116497.13	YARS,S100PBP	,	,	,
MSTRG.1017_33366917_33366870_15	ENSG00000121900.14	ENSG00000121900.14	TMEM54			
MSTRG.962_33502429_33497227_42	ENSG00000236065.2,ENSG00000004455.12	ENSG00000236065.2,ENSG00000004455.12	RP1-117O3.2,AK2	,	,	,
ENSG00000134686.12_33799843_33797941_40	ENSG00000134686.12,ENSG00000266239.1	ENSG00000134686.12,ENSG00000266239.1	PHC2,MIR3605	,	,	,
ENSG00000134686.12_33799843_33799496_31	ENSG00000134686.12	ENSG00000134686.12	PHC2			
ENSG00000134686.12_33815241_33799782_51	ENSG00000134686.12,ENSG00000222112.1	ENSG00000134686.12,ENSG00000222112.1	PHC2,RN7SKP16	,	,	,
MSTRG.982_35247089_35250503_151	ENSG00000163866.8,ENSG00000255811.1,ENSG00000188910.7	ENSG00000163866.8,ENSG00000255811.1,ENSG00000188910.7	SMIM12,RP1-34M23.5,GJB3	,,	,,	,,
MSTRG.977_35321578_35321300_92	ENSG00000163866.8	ENSG00000163866.8	SMIM12			
MSTRG.969_35450906_35442944_55	ENSG00000241014.1,ENSG00000271741.1,ENSG00000243749.1,ENSG00000163867.12	ENSG00000241014.1,ENSG00000271741.1,ENSG00000243749.1,ENSG00000163867.12	RP11-244H3.1,ZMYM6,ZMYM6NB,ZMYM6	,,,	,,,	,,,
ENSG00000197056.5_35558964_35577447_394	ENSG00000197056.5	ENSG00000197056.5	ZMYM1			
MSTRG.1010_36022870_36022814_18	ENSG00000142687.13	ENSG00000142687.13	KIAA0319L	,ENSG00000020129.11	,ENSG00000020129.11	,NCDN
MSTRG.1012_36023449_36023783_20	ENSG00000142687.13,ENSG00000020129.11	ENSG00000142687.13,ENSG00000020129.11	KIAA0319L,NCDN	,	,	,
MSTRG.985_36235556_36235449_35	ENSG00000092853.9	ENSG00000092853.9	CLSPN			
MSTRG.985_36230911_36230828_27	ENSG00000092853.9	ENSG00000092853.9	CLSPN			
ENSG00000126070.14_36397028_36437628_64	ENSG00000126070.14	ENSG00000126070.14	AGO3			
MSTRG.996_36614979_36614920_19	ENSG00000054116.7	ENSG00000054116.7	TRAPPC3			
MSTRG.1000_36621935_36621988_17	ENSG00000116871.11	ENSG00000116871.11	MAP7D1			
MSTRG.987_36690058_36690594_23	ENSG00000054118.9	ENSG00000054118.9	THRAP3			
MSTRG.987_36724989_36725084_31	ENSG00000054118.9	ENSG00000054118.9	THRAP3			
MSTRG.987_36690058_36725002_22	ENSG00000054118.9,ENSG00000231849.1	ENSG00000054118.9,ENSG00000231849.1	THRAP3,UBE2V2P4	,	,	,
